iter	Passed	Remaining
587	743	521
588	744	519
589	745	518
590	747	517
591	748	516
592	749	514
593	750	513
594	752	512
595	753	511
596	755	509
597	756	508
598	757	506
599	758	505
600	759	504
601	760	502
602	761	501
603	763	500
604	765	499
605	766	498
606	768	497
607	771	497
608	772	495
609	773	494
610	774	493
611	776	492
612	778	491
613	780	490
614	781	489
615	783	488
616	784	486
617	785	485
618	786	484
619	787	482
620	789	481
621	790	480
622	792	479
623	793	477
624	794	476
625	795	475
626	797	474
627	798	473
628	799	471
629	800	470
630	801	468
631	802	467
632	804	466
633	805	465
634	806	463
635	807	462
636	808	460
637	809	459
638	810	458
639	812	456
640	813	455
641	814	454
642	815	452
643	817	451
644	818	450
645	819	449
646	820	447
647	821	446
648	822	444
649	823	443
650	824	442
651	825	440
652	827	439
653	829	438
654	830	437
655	831	435
656	832	434
657	833	433
658	834	431
659	835	430
660	837	429
661	838	428
662	839	426
663	841	425
664	842	424
665	844	423
666	845	422
667	846	420
668	847	419
669	848	417
670	849	416
671	851	415
672	852	414
673	853	412
674	855	411
675	856	410
676	857	409
677	859	408
678	860	406
679	862	405
680	864	404
681	865	403
682	866	402
683	867	400
684	869	399
685	870	398
686	871	397
687	872	395
688	874	394
689	875	393
690	876	392
691	877	390
692	878	389
693	880	388
694	881	386
695	882	385
696	883	384
697	884	382
698	885	381
699	886	380
700	888	379
701	889	377
702	890	376
703	891	375
704	893	373
705	894	372
706	895	371
707	896	369
708	897	368
709	899	367
710	900	365
711	901	364
712	902	363
713	903	362
714	905	360
715	906	359
716	907	358
717	908	356
718	909	355
719	910	354
720	911	352
721	912	351
722	913	350
723	914	348
724	915	347
725	916	346
726	918	344
727	919	343
728	920	342
729	921	340
730	922	339
731	924	338
732	925	337
733	926	335
734	927	334
735	928	333
736	929	331
737	930	330
738	931	329
739	933	327
740	934	326
741	935	325
742	937	324
743	938	322
744	939	321
745	940	320
746	942	319
747	943	317
748	944	316
749	945	315
750	946	313
751	947	312
752	948	311
753	949	309
754	951	308
755	952	307
756	953	305
757	954	304
758	955	303
759	956	302
760	958	300
761	959	299
762	960	298
763	962	297
764	964	296
765	965	294
766	966	293
767	968	292
768	969	291
769	971	290
770	973	289
771	974	287
772	980	287
773	981	286
774	982	285
775	984	284
776	985	282
777	986	281
778	988	280
779	989	279
780	991	277
781	992	276
782	993	275
783	995	274
784	995	272
785	997	271
786	998	270
787	999	268
788	1000	267
789	1001	266
790	1002	264
791	1004	263
792	1005	262
793	1006	261
794	1007	259
795	1009	258
796	1010	257
797	1011	255
798	1012	254
799	1013	253
800	1014	252
801	1016	250
802	1017	249
803	1018	248
804	1019	246
805	1020	245
806	1021	244
807	1022	243
808	1024	241
809	1026	240
810	1027	239
811	1028	238
812	1029	236
813	1031	235
814	1032	234
815	1034	233
816	1035	232
817	1036	230
818	1038	229
819	1040	228
820	1041	227
821	1042	225
822	1043	224
823	1045	223
824	1046	221
825	1047	220
826	1048	219
827	1049	218
828	1050	216
829	1051	215
830	1053	214
831	1054	212
832	1055	211
833	1056	210
834	1058	209
835	1059	207
836	1060	206
837	1062	205
838	1063	204
839	1064	202
840	1065	201
841	1066	200
842	1068	198
843	1069	197
844	1070	196
845	1071	195
846	1072	193
847	1073	192
848	1075	191
849	1076	189
850	1077	188
851	1078	187
852	1079	186
853	1081	184
854	1082	183
855	1083	182
856	1085	181
857	1086	179
858	1087	178
859	1088	177
860	1090	175
861	1091	174
862	1092	173
863	1094	172
864	1095	170
865	1096	169
866	1097	168
867	1100	167
868	1101	166
869	1102	164
870	1103	163
871	1104	162
872	1106	160
873	1107	159
874	1108	158
875	1109	157
876	1110	155
877	1111	154
878	1112	153
879	1114	151
880	1116	150
881	1117	149
882	1119	148
883	1120	147
884	1122	145
885	1123	144
886	1125	143
887	1126	142
888	1127	140
889	1129	139
890	1130	138
891	1132	137
892	1133	135
893	1134	134
894	1135	133
895	1136	131
896	1138	130
897	1139	129
898	1140	128
899	1141	126
900	1142	125
901	1144	124
902	1145	123
903	1146	121
904	1147	120
905	1148	119
906	1150	117
907	1151	116
908	1152	115
909	1153	114
910	1154	112
911	1156	111
912	1157	110
913	1158	109
914	1160	107
915	1161	106
916	1162	105
917	1163	103
918	1164	102
919	1165	101
920	1166	100
921	1167	98
922	1169	97
923	1170	96
924	1171	94
925	1172	93
926	1173	92
927	1174	91
928	1176	89
929	1177	88
930	1178	87
931	1179	86
932	1180	84
933	1181	83
934	1182	82
935	1184	81
936	1186	79
937	1187	78
938	1188	77
939	1189	75
940	1190	74
941	1192	73
942	1193	72
943	1194	70
944	1195	69
945	1196	68
946	1197	67
947	1199	65
948	1200	64
949	1201	63
950	1202	61
951	1213	61
952	1214	59
953	1215	58
954	1216	57
955	1218	56
956	1219	54
957	1221	53
958	1222	52
959	1224	51
960	1225	49
961	1226	48
962	1227	47
963	1228	45
964	1229	44
965	1230	43
966	1231	42
967	1232	40
968	1233	39
969	1235	38
970	1236	36
971	1238	35
972	1239	34
973	1240	33
974	1241	31
975	1242	30
976	1243	29
977	1245	28
978	1246	26
979	1248	25
980	1249	24
981	1251	22
982	1252	21
983	1254	20
984	1255	19
985	1257	17
986	1258	16
987	1259	15
988	1261	14
989	1262	12
990	1263	11
991	1264	10
992	1265	8
993	1266	7
994	1267	6
995	1269	5
996	1270	3
997	1271	2
998	1273	1
999	1274	0
